State,rate,rank
South Dakota,1.8,1
North Dakota,2.5,2
Vermont,2.6,3
Hawaii,2.8,4
Montana,2.8,4
Nebraska,3,6
New Hampshire,3.1,7
Oklahoma,3.1,7
Alabama,3.2,9
Utah,3.2,9
Wisconsin,3.2,9
Maine,3.3,12
Maryland,3.3,12
Minnesota,3.3,12
Wyoming,3.3,12
Georgia,3.5,16
Tennessee,3.5,16
Virginia,3.5,16
Idaho,3.6,19
Indiana,3.6,19
Arkansas,3.7,21
Florida,3.7,21
Iowa,3.7,21
North Carolina,3.7,21
West Virginia,3.7,21
Connecticut,3.8,26
Kansas,3.8,26
Delaware,4,28
Mississippi,4,28
Missouri,4,28
New York,4,28
Pennsylvania,4,28
Texas,4,28
Arizona,4.1,34
South Carolina,4.1,34
New Mexico,4.2,36
Louisiana,4.5,37
Washington,4.5,37
Illinois,4.6,39
Alaska,4.7,40
Colorado,4.7,40
Massachusetts,4.8,42
Rhode Island,4.8,42
Kentucky,4.9,44
New Jersey,4.9,44
Ohio,4.9,44
Oregon,4.9,44
Michigan,5.3,48
California,5.4,49
Nevada,5.4,49
District of Columbia,5.9,51
